id,name,quality
1,tiff,1
2,mom,1
3,dad,4
4,tiff,3
5,mom,0
6,chris,2
7,dad,1
8,chris,4
9,tiff,4
10,chris,1
11,dad,2
12,dad,1
13,chris,3
14,tiff,2
15,chris,1
16,tiff,2
17,tiff,1
18,mom,0
19,dad,1
20,tiff,1
21,tiff,3
22,mom,1
23,mom,2
29,tiff,1
30,chris,3
31,dad,2
32,mom,1
33,dad,2
34,tiff,2
35,tiff,1
36,chris,4
37,chris,2
38,tiff,2
39,dad,4
40,tiff,1
41,dad,1
42,tiff,1
43,dad,4
44,mom,1
45,mom,1
46,mom,1
47,mom,2
48,tiff,4
49,tiff,1
50,chris,2
51,mom,1
52,mom,4
54,chris,0
55,tiff,1
56,dad,4
57,chris,3
58,dad,3
59,chris,2
60,chris,1
61,chris,0
62,mom,4
63,mom,1
64,tiff,1
65,tiff,4
66,tiff,2
67,chris,1
68,mom,2
69,mom,3
70,mom,2
71,mom,1
72,chris,2
73,dad,4
74,mom,2
75,mom,1
76,dad,1
77,tiff,0
78,tiff,1
79,tiff,3
80,mom,1
81,mom,2
82,dad,2
91,tiff,3
92,chris,1
93,tiff,0
94,mom,2
95,chris,0
96,tiff,0
97,mom,3
98,dad,4
99,dad,2
100,mom,1
101,chris,1
102,chris,1
103,dad,4
104,mom,2
105,dad,2
106,chris,1
107,dad,3
108,chris,3
109,dad,0
110,tiff,2
111,dad,1
112,mom,1
113,chris,2
114,mom,2
115,tiff,0
116,dad,2
117,tiff,4
118,mom,1
119,mom,2
120,tiff,2
121,mom,1
122,tiff,2
123,dad,1
124,mom,1
125,chris,1
126,mom,2
127,mom,0
128,mom,3
129,dad,2
130,dad,3
131,tiff,2
132,chris,1
133,dad,1
134,dad,0
135,tiff,2
136,chris,0
137,dad,1
138,chris,1
139,chris,2
140,mom,4
141,dad,1
142,mom,2
143,tiff,4
144,mom,0
145,dad,3
146,tiff,2
147,dad,2
148,mom,2
149,dad,1
150,tiff,1
151,dad,4
152,mom,1
153,dad,2
154,mom,1
155,chris,1
156,tiff,2
157,mom,2
158,chris,2
159,tiff,2
160,mom,4
161,chris,0
162,mom,2
163,dad,0
164,tiff,2
165,dad,2
166,dad,1
167,mom,1
168,mom,3
169,dad,2
170,mom,0
171,mom,1
172,mom,1
173,dad,2
174,mom,1
175,tiff,1
176,tiff,1
177,tiff,1
178,mom,1
179,mom,1
180,mom,1
181,chris,3
182,mom,2
183,chris,4
184,tiff,1
185,mom,3
186,chris,3
187,tiff,1
188,dad,1
189,chris,1
190,tiff,1
191,dad,2
192,tiff,1
193,dad,2
194,chris,0
195,mom,2
196,tiff,2
197,dad,1
198,mom,1
199,dad,3
200,dad,1
201,mom,2
202,chris,2
203,dad,1
204,chris,4
205,tiff,0
206,chris,1
207,dad,2
208,tiff,1
209,mom,1
210,chris,2
211,chris,1
212,dad,1
213,chris,2
214,mom,0
215,mom,0
216,tiff,1
217,dad,4
218,chris,1
219,tiff,1
220,dad,2
221,mom,1
222,chris,3
223,tiff,2
224,dad,1
225,mom,1
226,dad,2
227,mom,2
228,mom,4
229,dad,1
230,chris,1
231,dad,2
232,tiff,4
233,chris,1
234,tiff,3
235,dad,1
236,dad,4
237,dad,2
238,chris,2
239,mom,3
151,tiff,1
152,tiff,2
153,chris,2
154,chris,1
155,tiff,2
156,dad,3
157,mom,3
158,dad,0
159,dad,3
160,chris,0
161,chris,4
162,chris,2
163,tiff,1
164,tiff,1
165,mom,1
166,chris,1
167,tiff,1
168,dad,2
169,tiff,4
170,tiff,1
171,dad,4
172,chris,1
173,chris,0
174,tiff,0
